Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es interesante.,2. ¿Porqué participas actualmente en esta actividad? Porque se supone que debo hacerlo.,3. ¿Porqué participas actualmente en esta actividad? Por mi propio bien,"4. ¿Porqué participas actualmente en esta actividad? Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. ¿Porqué participas actualmente en esta actividad? Porque disfruto con esta actividad,6. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es buena para mí,7. ¿Porqué participas actualmente en esta actividad? Porque es algo que tengo que hacer,"8. ¿Porqué participas actualmente en esta actividad? Realizo esta actividad, pero no estoy seguro de si vale la pena",9. ¿Porqué participas actualmente en esta actividad? Porque esta actividad es divertida,10. ¿Porqué participas actualmente en esta actividad? Por decisión personal,11. ¿Porqué participas actualmente en esta actividad? Porque no tengo otra alternativa,12. ¿Porqué participas actualmente en esta actividad? No lo sé; no veo qué me aporta esta actividad,13. ¿Porqué participas actualmente en esta actividad? Porque me siento bien realizando esta actividad,14. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es importante para mí,15. ¿Porqué participas actualmente en esta actividad? Porque creo que tengo que hacerlo,"16. ¿Porqué participas actualmente en esta actividad? Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella",
2017/11/30 9:33:31,Lehen Hezkuntzako Gradua,1go maila,18,Mujer,Español,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,2. Muy poco,
2017/11/30 9:35:53,Primaria,1,18,Mujer,Español,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,7. Muy de acuerdo,5. Suficiente,5. Suficiente,2. Muy poco,6. Bastante,4. Moderadamente,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,
2017/11/30 9:35:58,Lehen hezkuntza,Lehen maila,18,Mujer,Español,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,6. Bastante,6. Bastante,5. Suficiente,
2017/11/30 9:36:58,Lehen hezkuntzako gradua,Lehenengo maila,21,Hombre,Español,5. Suficiente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,Opción 1
2017/11/30 9:37:27,lehen hezkuntza ,lehenengo maila,18,Hombre,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,
2017/11/30 10:52:24,Lehen Hezkuntza,1,18,Hombre,Español,7. Muy de acuerdo,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,5. Suficiente,2. Muy poco,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,2. Muy poco,Opción 1
2017/11/30 11:13:59,Lehen Hezkuntza,1.Maila,18,Hombre,Español,6. Bastante,5. Suficiente,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,
2017/11/30 11:18:06,Lehen hezkuntza,1. maila,19,Hombre,Español,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,3. Poco,6. Bastante,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/11/30 11:20:18,Lehen Hezkuntza ,1,22,Mujer,Español,3. Poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,2. Muy poco,3. Poco,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,3. Poco,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,
2017/11/30 11:21:44,Lehen hezkuntza,1.maila,18,Mujer,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,2. Muy poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/11/30 11:22:39,Lehen Hezkuntza,Lehenengo maila,18,Mujer,Euskara,5. Suficiente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 11:23:25,Lehen hezkuntza,1.maila,18,Mujer,Español,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,6. Bastante,4. Moderadamente,
2017/11/30 11:23:30,Lehen Hezkuntza,1,19,Hombre,Español,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,4. Moderadamente,6. Bastante,7. Muy de acuerdo,3. Poco,3. Poco,2. Muy poco,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,6. Bastante,3. Poco,Opción 1
2017/11/30 11:23:31,Lehen Hezkuntza,1,18,Mujer,Euskara,3. Poco,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,
2017/11/30 11:24:08,Lehen Hezkuntza,Lehenengo maila,19,Hombre,Euskara,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,Opción 1
2017/11/30 11:25:42,Lehen Hezkuntza,1,19,Hombre,Español,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,5. Suficiente,5. Suficiente,4. Moderadamente,5. Suficiente,4. Moderadamente,
2017/11/30 11:29:26,Lehen Hezkuntza,1,17,Hombre,Euskara,5. Suficiente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,6. Bastante,3. Poco,Opción 1
2017/11/30 11:31:01,Lehen Hezkuntza,1ª,19,Hombre,Euskara,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,Opción 1
2017/11/30 11:31:52,Lehen hezkuntza,1. maila,19,Hombre,Español,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/11/30 11:31:59,Magisterio,primero,18,Hombre,Español,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,Opción 1
2017/11/30 11:32:12,Lehen Hezkuntza,1. maila,18,Mujer,Euskara,5. Suficiente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,3. Poco,3. Poco,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,Opción 1
2017/11/30 11:33:44,Lehen hezkuntza, 1 maila,19,Hombre,Español,6. Bastante,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 11:41:05,Lehen hezkuntza,primero,18,Mujer,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,5. Suficiente,2. Muy poco,5. Suficiente,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,Opción 1
2017/11/30 11:47:10,Lehen hezkuntza,1,17,Mujer,Español,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,6. Bastante,6. Bastante,4. Moderadamente,
2017/11/30 11:48:05,Educación Primaria,Primero,23,Mujer,Español,4. Moderadamente,4. Moderadamente,5. Suficiente,2. Muy poco,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,2. Muy poco,2. Muy poco,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,
2017/11/30 11:59:12,Lehen Hezkuntza,1,18,Mujer,Español,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,3. Poco,6. Bastante,7. Muy de acuerdo,2. Muy poco,3. Poco,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/11/30 12:01:01,Lehen Hezkuntza,1,18,Hombre,Español,6. Bastante,6. Bastante,7. Muy de acuerdo,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,Opción 1
2017/11/30 12:02:04,Lehen Hezkuntza ,Lehenengo maila,18,Mujer,Euskara,5. Suficiente,7. Muy de acuerdo,6. Bastante,2. Muy poco,7. Muy de acuerdo,5. Suficiente,6. Bastante,2. Muy poco,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,2. Muy poco,Opción 1
2017/11/30 16:05:48,Lehen Hezkuntza,1. maila,18,Mujer,Español,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 23:45:17,Lehen Hezkuntza,1.maila,18,Mujer,Euskara,2. Muy poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,2. Muy poco,2. Muy poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,
2017/12/1 8:50:19,Lehen Hezkuntza,1,18,Hombre,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,2. Muy poco,Opción 1
2017/12/1 12:34:35,Lehen Hezkuntza,lehenengo maila,19,Hombre,Euskara,6. Bastante,3. Poco,6. Bastante,3. Poco,5. Suficiente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,3. Poco,Opción 1
2017/12/1 12:59:09,Educacion primaria,1,18,Mujer,Español,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,2. Muy poco,2. Muy poco,4. Moderadamente,4. Moderadamente,Opción 1
2017/12/1 13:07:56,Lehen Hezkuntza,1. maila,18,Mujer,Español,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,
