Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. Porque creo que esta actividad es interesante.,2. Porque se supone que debo hacerlo.,3. Por mi propio bien,"4. Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. Porque disfruto con esta actividad,6. Porque creo que esta actividad es buena para mí,7. Porque es algo que tengo que hacer,"8. Realizo esta actividad, pero no estoy seguro de si vale la pena",9. Porque esta actividad es divertida,10. Por decisión personal,11. Porque no tengo otra alternativa,12. No lo sé, No veo qué me aporta esta actividad,13. Porque me siento bien realizando esta actividad,14. Porque creo que esta actividad es importante para mí,15. Porque creo que tengo que hacerlo,"16. Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella"
2017/3/17 9:21:12,Matematika,4,24,Gizona,Español,2. Muy poco,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,3. Poco,4. Moderadamente,
2017/3/17 9:52:10,Publizitate eta Harreman Publikoak,1,18,Gizona,Español,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,3. Poco,2. Muy poco,7. Muy de acuerdo,2. Muy poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,7. Muy de acuerdo,
2017/4/10 9:51:44,Kazetaritza,1,18,Emakumea,Español,4. Moderadamente,6. Bastante,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,7. Muy de acuerdo,5. Suficiente,2. Muy poco,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,5. Suficiente,
2017/4/10 9:51:46,Ikus-entzunezko komunikazioa,1,18,Emakumea,Español,5. Suficiente,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,6. Bastante,5. Suficiente,7. Muy de acuerdo,5. Suficiente,6. Bastante,3. Poco,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,4. Moderadamente,
2017/4/10 9:52:06,Kazetaritza,1,18,Emakumea,Español,6. Bastante,3. Poco,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,6. Bastante,6. Bastante,3. Poco,3. Poco,
2017/4/10 9:52:11,Kazetaritza,1,19,Emakumea,Español,6. Bastante,4. Moderadamente,5. Suficiente,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/4/10 9:52:25,Kazetaritza,1,18,Emakumea,Español,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,
2017/4/10 9:52:58,Kazetaritza,1,20,Emakumea,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/4/10 9:53:04,Ikus-entzunezko komunikazioa,1,18,Emakumea,Español,6. Bastante,5. Suficiente,4. Moderadamente,2. Muy poco,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,
2017/4/10 9:53:09,Kazetaritza,1,18,Emakumea,Euskara,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,2. Muy poco,3. Poco,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,
2017/4/10 9:53:32,Kazetaritza,1,18,Emakumea,Español,4. Moderadamente,6. Bastante,2. Muy poco,4. Moderadamente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,3. Poco,2. Muy poco,3. Poco,4. Moderadamente,
2017/4/10 9:54:11,Kazetaritza,1,18,Emakumea,Español,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,
2017/4/10 9:54:20,Kazetaritza,1,19,Emakumea,Español,4. Moderadamente,5. Suficiente,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,6. Bastante,7. Muy de acuerdo,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,2. Muy poco,
2017/4/10 9:54:29,Ikus-entzunezko komunikazioa,1,18,Emakumea,Español,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,6. Bastante,5. Suficiente,4. Moderadamente,4. Moderadamente,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,
2017/4/10 9:54:49,Publizitate eta Harreman Publikoak,1,18,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,7. Muy de acuerdo,2. Muy poco,
2017/4/10 9:55:28,Kazetaritza,1,20,Emakumea,Euskara,7. Muy de acuerdo,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,5. Suficiente,3. Poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,2. Muy poco,
2017/4/10 9:55:35,Kazetaritza,1,23,Emakumea,Euskara,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,
2017/4/10 9:55:47,Ikus-entzunezko komunikazioa,1,19,Emakumea,Español,2. Muy poco,7. Muy de acuerdo,5. Suficiente,2. Muy poco,3. Poco,5. Suficiente,6. Bastante,6. Bastante,2. Muy poco,1. No estoy de acuerdo en nada,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,
2017/4/10 9:56:49,Kazetaritza,1,20,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,2. Muy poco,
2017/4/10 9:56:55,Publizitate eta Harreman Publikoak,1,18,Emakumea,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,4. Moderadamente,3. Poco,
2017/4/10 9:57:24,Publizitate eta Harreman Publikoak,1,18,Emakumea,Español,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,4. Moderadamente,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,
2017/4/10 9:59:40,Kazetaritza,1,19,Emakumea,Español,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,3. Poco,6. Bastante,6. Bastante,2. Muy poco,3. Poco,6. Bastante,6. Bastante,4. Moderadamente,2. Muy poco,
2017/4/10 10:00:23,Kazetaritza,1,19,Emakumea,Euskara,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,5. Suficiente,6. Bastante,
2017/4/10 10:03:52,Kazetaritza,1,20,Emakumea,Euskara,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,5. Suficiente,
2017/4/10 10:04:12,Kazetaritza,1,18,Emakumea,Euskara,5. Suficiente,3. Poco,5. Suficiente,2. Muy poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,3. Poco,3. Poco,4. Moderadamente,3. Poco,
2017/4/11 11:28:58,Publizitate eta Harreman Publikoak,1,19,Emakumea,Euskara,1. No estoy de acuerdo en nada,6. Bastante,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,2. Muy poco,
2017/4/11 11:30:05,Publizitate eta Harreman Publikoak,1,19,Emakumea,Español,6. Bastante,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,2. Muy poco,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,
2017/4/11 11:30:23,Kazetaritza,1,18,Emakumea,Euskara,7. Muy de acuerdo,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/4/11 11:30:24,Kazetaritza,1,18,Emakumea,Euskara,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,3. Poco,5. Suficiente,3. Poco,7. Muy de acuerdo,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,2. Muy poco,
2017/4/11 11:30:25,Publizitate eta Harreman Publikoak,1,18,Emakumea,Español,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,6. Bastante,7. Muy de acuerdo,5. Suficiente,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,3. Poco,3. Poco,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,
2017/4/11 11:30:26,Kazetaritza,1,18,Emakumea,Euskara,6. Bastante,3. Poco,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,3. Poco,6. Bastante,5. Suficiente,3. Poco,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,
2017/4/11 11:30:43,Ikus-entzunezko komunikazioa,1,19,Emakumea,Español,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,4. Moderadamente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,
2017/4/11 11:30:43,Ikus-entzunezko komunikazioa,1,18,Emakumea,Euskara,4. Moderadamente,6. Bastante,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,2. Muy poco,5. Suficiente,3. Poco,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/4/11 11:30:49,Kazetaritza,1,19,Emakumea,Euskara,3. Poco,6. Bastante,5. Suficiente,3. Poco,3. Poco,5. Suficiente,5. Suficiente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,6. Bastante,2. Muy poco,
2017/4/11 11:31:16,Kazetaritza,1,18,Emakumea,Euskara,6. Bastante,6. Bastante,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,6. Bastante,6. Bastante,5. Suficiente,2. Muy poco,5. Suficiente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/4/11 11:32:02,Publizitate eta Harreman Publikoak,1,18,Emakumea,Euskara,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/4/11 11:32:27,Ikus-entzunezko komunikazioa,1,18,Emakumea,Euskara,6. Bastante,3. Poco,6. Bastante,3. Poco,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,3. Poco,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,
2017/4/11 11:32:42,Kazetaritza,1,18,Emakumea,Euskara,6. Bastante,7. Muy de acuerdo,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,2. Muy poco,
2017/4/11 11:32:47,Ikus-entzunezko komunikazioa,1,18,Emakumea,Euskara,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,
2017/4/11 11:32:47,Ikus-entzunezko komunikazioa,1,18,Emakumea,Euskara,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,
2017/4/11 11:33:05,Kazetaritza,1,19,Emakumea,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,7. Muy de acuerdo,2. Muy poco,
2017/4/11 11:33:26,Kazetaritza,1,19,Emakumea,Español,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/4/11 11:33:56,Ikus-entzunezko komunikazioa,1,18,Emakumea,Euskara,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,
2017/4/27 14:40:03,Matematika,4,22,Emakumea,Euskara,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,5. Suficiente,4. Moderadamente,4. Moderadamente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,5. Suficiente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,
