Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. Porque creo que esta actividad es interesante.,2. Porque se supone que debo hacerlo.,3. Por mi propio bien,"4. Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. Porque disfruto con esta actividad,6. Porque creo que esta actividad es buena para mí,7. Porque es algo que tengo que hacer,"8. Realizo esta actividad, pero no estoy seguro de si vale la pena",9. Porque esta actividad es divertida,10. Por decisión personal,11. Porque no tengo otra alternativa,12. No lo sé, No veo qué me aporta esta actividad,13. Porque me siento bien realizando esta actividad,14. Porque creo que esta actividad es importante para mí,15. Porque creo que tengo que hacerlo,"16. Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella"
2017/11/30 11:48:05,Lehen Hezkuntza,1,23,Emakumea,Español,4. Moderadamente,4. Moderadamente,5. Suficiente,2. Muy poco,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,2. Muy poco,2. Muy poco,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,
2017/11/30 11:59:12,Lehen Hezkuntza,1,18,Emakumea,Español,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,3. Poco,6. Bastante,7. Muy de acuerdo,2. Muy poco,3. Poco,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/11/30 12:01:01,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,6. Bastante,7. Muy de acuerdo,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,Opción 1
2017/11/30 12:02:04,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,6. Bastante,2. Muy poco,7. Muy de acuerdo,5. Suficiente,6. Bastante,2. Muy poco,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,2. Muy poco,Opción 1
2017/11/30 16:05:48,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 23:45:17,Lehen Hezkuntza,1,18,Emakumea,Euskara,2. Muy poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,2. Muy poco,2. Muy poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,
2017/12/1 8:50:19,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,2. Muy poco,Opción 1
2017/12/1 12:34:35,Lehen Hezkuntza,1,19,Emakumea,Euskara,6. Bastante,3. Poco,6. Bastante,3. Poco,5. Suficiente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,3. Poco,Opción 1
2017/12/1 12:59:09,Lehen Hezkuntza,1,18,Emakumea,Español,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,2. Muy poco,2. Muy poco,4. Moderadamente,4. Moderadamente,Opción 1
2017/12/1 13:07:56,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,
